DATE,SP500,T10YFF,CORESTICKM159SFRBATL,PCE,JTSJOL
1991-04-01,.,2.0731818181818182,5.276160434,3907.1,.
1991-05-01,.,2.2568181818181818,5.222445891,3933.2,.
1991-06-01,.,2.4175000000000000,4.934653949,3940.5,.
1991-07-01,.,2.4300000000000000,4.713410392,3966.0,.
1991-08-01,.,2.2100000000000000,4.393094508,3969.1,.
1991-09-01,.,2.1615000000000000,4.443594793,3984.7,.
1991-10-01,.,2.2877272727272727,4.288991989,3976.0,.
1991-11-01,.,2.6042105263157895,4.34967757,4003.6,.
1991-12-01,.,2.6109523809523810,4.346967664,4020.5,.
1992-01-01,.,2.9214285714285714,4.052308746,4084.7,.
1992-02-01,.,3.2768421052631579,3.861765064,4099.5,.
1992-03-01,.,3.5309090909090909,3.975844252,4117.0,.
1992-04-01,.,3.6366666666666667,4.066438773,4131.5,.
1992-05-01,.,3.5490000000000000,3.926410529,4158.4,.
1992-06-01,.,3.4572727272727273,3.860188559,4177.1,.
1992-07-01,.,3.5018181818181818,3.769367667,4204.8,.
1992-08-01,.,3.2590476190476190,3.628120085,4220.9,.
1992-09-01,.,3.1252380952380952,3.349237754,4255.3,.
1992-10-01,.,3.4442857142857143,3.6359146,4284.7,.
1992-11-01,.,3.7900000000000000,3.629469745,4300.5,.
1992-12-01,.,3.8036363636363636,3.478262556,4336.4,.
1993-01-01,.,3.4805263157894737,3.528455109,4340.7,.
1993-02-01,.,3.2015789473684211,3.561853788,4355.3,.
1993-03-01,.,2.8639130434782609,3.334428143,4352.5,.
1993-04-01,.,2.9871428571428571,3.404237829,4393.4,.
1993-05-01,.,3.0185000000000000,3.532736691,4422.4,.
1993-06-01,.,2.8909090909090909,3.569326945,4440.0,.
1993-07-01,.,2.7133333333333333,3.422616714,4468.9,.
1993-08-01,.,2.6263636363636364,3.508810757,4481.1,.
1993-09-01,.,2.2204761904761905,3.642383692,4511.5,.
1993-10-01,.,2.3400000000000000,3.424737275,4532.8,.
1993-11-01,.,2.6950000000000000,3.436277096,4554.1,.
1993-12-01,.,2.8150000000000000,3.548475916,4571.1,.
1994-01-01,.,2.6345000000000000,3.375759896,4585.1,.
1994-02-01,.,2.7042105263157895,3.415920384,4632.6,.
1994-03-01,.,3.1317391304347826,3.570150943,4646.0,.
1994-04-01,.,3.4084210526315789,3.354397547,4671.1,.
1994-05-01,.,3.1652380952380952,3.225532887,4669.5,.
1994-06-01,.,2.8281818181818182,3.194738495,4708.9,.
1994-07-01,.,2.9830000000000000,3.233880147,4720.6,.
1994-08-01,.,2.7573913043478261,3.306714086,4762.6,.
1994-09-01,.,2.7090476190476190,3.254281644,4775.0,.
1994-10-01,.,3.0105000000000000,3.164264289,4812.9,.
1994-11-01,.,2.6735000000000000,3.128282179,4825.6,.
1994-12-01,.,2.3042857142857143,2.901446577,4841.6,.
1995-01-01,.,2.1825000000000000,3.144200833,4851.2,.
1995-02-01,.,1.5568421052631579,3.124100115,4850.8,.
1995-03-01,.,1.2200000000000000,3.167481169,4885.4,.
1995-04-01,.,1.02631578947368421053,3.306684647,4890.2,.
1995-05-01,.,0.60772727272727272727,3.355294523,4933.1,.
1995-06-01,.,0.16636363636363636364,3.332283478,4977.5,.
1995-07-01,.,0.40900000000000000000,3.386948974,4970.2,.
1995-08-01,.,0.73913043478260869565,3.23814109,5005.3,.
1995-09-01,.,0.37150000000000000000,3.351697522,5020.5,.
1995-10-01,.,0.27666666666666666667,3.46411606,5013.9,.
1995-11-01,.,0.13238095238095238095,3.37996065,5055.6,.
1995-12-01,.,0.02450000000000000000,3.379829487,5097.5,.
1996-01-01,.,0.00761904761904761905,3.277075064,5085.7,.
1996-02-01,.,0.55350000000000000000,3.259936249,5132.8,.
1996-03-01,.,0.97714285714285714286,3.134500987,5173.3,.
1996-04-01,.,1.2445454545454545,3.004778103,5208.0,.
1996-05-01,.,1.4690909090909091,3.047772222,5223.8,.
1996-06-01,.,1.6030000000000000,3.051784638,5229.8,.
1996-07-01,.,1.4095454545454545,3.087421545,5251.9,.
1996-08-01,.,1.4077272727272727,3.083473301,5275.0,.
1996-09-01,.,1.5045000000000000,3.063090207,5296.6,.
1996-10-01,.,1.2590909090909091,2.943741816,5328.5,.
1996-11-01,.,0.88578947368421052632,2.980390413,5351.2,.
1996-12-01,.,0.93428571428571428571,3.05642197,5378.6,.
1997-01-01,.,1.3280952380952381,2.91241515,5411.1,.
1997-02-01,.,1.2252631578947368,2.802464903,5434.0,.
1997-03-01,.,1.2880000000000000,2.854608076,5454.2,.
1997-04-01,.,1.3390909090909091,2.910920374,5459.3,.
1997-05-01,.,1.1761904761904762,2.870203143,5460.2,.
1997-06-01,.,0.90761904761904761905,2.828445596,5494.2,.
1997-07-01,.,0.65863636363636363636,2.752239262,5548.8,.
1997-08-01,.,0.74476190476190476190,2.653670773,5587.0,.
1997-09-01,.,0.62095238095238095238,2.544804261,5601.7,.
1997-10-01,.,0.50454545454545454545,2.618900715,5637.7,.
1997-11-01,.,0.32722222222222222222,2.548580799,5661.1,.
1997-12-01,.,0.24545454545454545455,2.621535622,5692.1,.
1998-01-01,.,0.03250000000000000000,2.673178027,5689.9,.
1998-02-01,.,0.04631578947368421053,2.691552555,5723.8,.
1998-03-01,.,0.12772727272727272727,2.672304266,5750.3,.
1998-04-01,.,0.18000000000000000000,2.640497846,5788.1,.
1998-05-01,.,0.18000000000000000000,2.611332031,5837.9,.
1998-06-01,.,-0.10727272727272727273,2.600204475,5871.7,.
1998-07-01,.,-0.11227272727272727273,2.603335947,5890.0,.
1998-08-01,.,-0.21761904761904761905,2.633982138,5925.0,.
1998-09-01,.,-0.73714285714285714286,2.594217982,5965.6,.
1998-10-01,.,-0.55714285714285714286,2.535056337,5998.8,.
1998-11-01,.,-0.00894736842105263158,2.523581703,6015.4,.
1998-12-01,.,-0.07681818181818181818,2.437823,6070.5,.
1999-01-01,.,0.03473684210526315789,2.383116,6073.9,.
